🇨🇳[哓桀丨整理源],#genre#
三沙卫视,http://zqh2333.top:2222/rtp/239.93.55.58:5140
卡酷少儿,http://zqh2333.top:2222/rtp/239.93.24.208:5140
哈哈炫动,http://zqh2333.top:2222/rtp/239.93.24.173:5140
嘉佳卡通,http://zqh2333.top:2222/rtp/239.93.24.246:5140
优漫卡通,http://zqh2333.top:2222/rtp/239.93.24.251:5140
金鹰卡通,http://zqh2333.top:2222/rtp/239.93.24.108:5140
金鹰纪实,http://zqh2333.top:2222/rtp/239.93.24.130:5140

CCTV-1综合,http://144.0.18.28:8018/hls/1/index.m3u8
CCTV-2财经,http://144.0.18.28:8018/hls/2/index.m3u8
CCTV-3综艺,http://144.0.18.28:8018/hls/3/index.m3u8
CCTV-4中文国际,http://144.0.18.28:8018/hls/4/index.m3u8
CCTV-5体育,http://144.0.18.28:8018/hls/5/index.m3u8
CCTV-6电影,http://144.0.18.28:8018/hls/6/index.m3u8
CCTV-7国防军事,http://144.0.18.28:8018/hls/7/index.m3u8
CCTV-8电视剧,http://144.0.18.28:8018/hls/8/index.m3u8
CCTV-9纪录,http://144.0.18.28:8018/hls/9/index.m3u8
CCTV-10科教,http://144.0.18.28:8018/hls/10/index.m3u8
CCTV-11戏曲,http://144.0.18.28:8018/hls/11/index.m3u8
CCTV-12社会与法,http://144.0.18.28:8018/hls/12/index.m3u8
CCTV-13新闻,http://144.0.18.28:8018/hls/13/index.m3u8
CCTV-14少儿,http://144.0.18.28:8018/hls/14/index.m3u8
CCTV-15音乐,http://144.0.18.28:8018/hls/15/index.m3u8
CCTV-16奥林匹克,http://218.15.20.81:3388/hls/36/index.m3u8
CCTV-17农业农村,http://113.64.146.6:2024/hls/34/index.m3u8
CCTV-5+体育赛事,http://218.15.20.81:3388/hls/5/index.m3u8
北京卫视,http://144.0.18.28:8018/hls/46/index.m3u8
天津卫视,http://113.64.146.6:2024/hls/69/index.m3u8
东方卫视,http://144.0.18.28:8018/hls/54/index.m3u8
东南卫视,http://144.0.18.28:8018/hls/55/index.m3u8
海南卫视,http://144.0.18.28:8018/hls/66/index.m3u8
广东卫视,http://144.0.18.28:8018/hls/57/index.m3u8
广西卫视,http://144.0.18.28:8018/hls/58/index.m3u8
深圳卫视,http://144.0.18.28:8018/hls/72/index.m3u8
江苏卫视,http://144.0.18.28:8018/hls/51/index.m3u8
江西卫视,http://144.0.18.28:8018/hls/64/index.m3u8
浙江卫视,http://144.0.18.28:8018/hls/52/index.m3u8
湖南卫视,http://144.0.18.28:8018/hls/50/index.m3u8
湖北卫视,http://144.0.18.28:8018/hls/49/index.m3u8
安徽卫视,http://144.0.18.28:8018/hls/48/index.m3u8
山东卫视,http://144.0.18.28:8018/hls/20/index.m3u8
山西卫视,http://144.0.18.28:8018/hls/70/index.m3u8
教育卫视,http://144.0.18.28:8018/hls/16/index.m3u8
河南卫视,http://144.0.18.28:8018/hls/62/index.m3u8
河北卫视,http://144.0.18.28:8018/hls/61/index.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8 
龙江卫视,http://144.0.18.28:8018/hls/58/index.m3u8
吉林卫视,http://113.64.146.6:2024/hls/89/index.m3u8
辽宁卫视,http://144.0.18.28:8018/hls/65/index.m3u8
云南卫视,http://113.64.146.6:2024/hls/86/index.m3u8
贵州卫视,http://144.0.18.28:8018/hls/59/index.m3u8
四川卫视,http://144.0.18.28:8018/hls/74/index.m3u8
重庆卫视,http://113.64.146.6:2024/hls/88/index.m3u8
陕西卫视,http://144.0.18.28:8018/hls/71/index.m3u8
甘肃卫视,http://144.0.18.28:8018/hls/56/index.m3u8
宁夏卫视,http://144.0.18.28:8018/hls/68/index.m3u8
青海卫视,http://144.0.18.28:8018/hls/69/index.m3u8
内蒙卫视,http://144.0.18.28:8018/hls/67/index.m3u8
西藏卫视,http://144.0.18.28:8018/hls/75/index.m3u8
新疆卫视,http://144.0.18.28:8018/hls/76/index.m3u8
兵团卫视,http://113.64.146.6:2024/hls/85/index.m3u8
三沙卫视,http://113.64.146.6:2024/hls/88/index.m3u8
卡酷动画,http://113.64.146.6:2024/hls/51/index.m3u8
哈哈炫动,http://144.0.18.28:8018/hls/42/index.m3u8
嘉佳卡通,http://113.64.146.6:2024/hls/50/index.m3u8
优漫卡通,http://144.0.18.28:8018/hls/45/index.m3u8
金鹰卡通,http://144.0.18.28:8018/hls/43/index.m3u8

CCTV-1综合,http://www.lizhinas.top:1009/rtp/239.252.219.200:5140
CCTV-2财经,http://www.lizhinas.top:1009/rtp/239.252.220.183:5140
CCTV-3综艺,http://www.lizhinas.top:1009/rtp/239.252.219.252:5140
CCTV-4中文国际,http://www.lizhinas.top:1009/rtp/239.252.220.184:5140
CCTV-5体育,http://www.lizhinas.top:1009/rtp/239.252.219.236:5140
CCTV-6电影,http://www.lizhinas.top:1009/rtp/239.252.219.237:5140
CCTV-7国防军事,http://www.lizhinas.top:1009/rtp/239.252.220.185:5140
CCTV-8电视剧,http://www.lizhinas.top:1009/rtp/239.252.219.253:5140
CCTV-9纪录,http://www.lizhinas.top:1009/rtp/239.252.220.186:5140
CCTV-10科教,http://www.lizhinas.top:1009/rtp/239.252.220.91:5140
CCTV-11戏曲,http://www.lizhinas.top:1009/rtp/239.252.219.78:5140
CCTV-12社会与法,http://www.lizhinas.top:1009/rtp/239.252.220.187:5140
CCTV-13新闻,http://www.lizhinas.top:1009/rtp/239.252.219.139:5140
CCTV-14少儿,http://www.lizhinas.top:1009/rtp/239.252.220.92:5140
CCTV-15音乐,http://www.lizhinas.top:1009/rtp/239.252.219.79:5140
CCTV-16奥林匹克,http://www.lizhinas.top:1009/rtp/239.252.220.237:5140
CCTV-17农业农村,http://www.lizhinas.top:1009/rtp/239.252.220.192:5140
CCTV-5+体育赛事,http://www.lizhinas.top:1009/rtp/239.252.219.72:5140
CETV-1教育,http://www.lizhinas.top:1009/rtp/239.252.220.198:5140
CETV-2教育,http://www.lizhinas.top:1009/rtp/239.252.219.73:5140
CETV-4教育,http://www.lizhinas.top:1009/rtp/239.252.219.169:5140
CGTN-英语,http://www.lizhinas.top:1009/rtp/239.252.219.194:5140
CGTN-西语,http://www.lizhinas.top:1009/rtp/239.252.219.196:5140
CGTN-法语,http://www.lizhinas.top:1009/rtp/239.252.219.65:5140
CGTN-阿语,http://www.lizhinas.top:1009/rtp/239.252.219.66:5140
CGTN-俄语,http://www.lizhinas.top:1009/rtp/239.252.219.67:5140
CGTN-纪录,http://www.lizhinas.top:1009/rtp/239.252.219.195:5140
北京卫视,http://www.lizhinas.top:1009/rtp/239.252.219.206:5140
天津卫视,http://www.lizhinas.top:1009/rtp/239.252.220.61:5140
东方卫视,http://www.lizhinas.top:1009/rtp/239.252.219.229:5140
东南卫视,http://www.lizhinas.top:1009/rtp/239.252.220.82:5140
海南卫视,http://www.lizhinas.top:1009/rtp/239.252.219.178:5140
广东卫视,http://www.lizhinas.top:1009/rtp/239.252.219.213:5140
广西卫视,http://www.lizhinas.top:1009/rtp/239.252.219.183:5140
深圳卫视,http://www.lizhinas.top:1009/rtp/239.252.219.212:5140
江苏卫视,http://www.lizhinas.top:1009/rtp/239.252.219.214:5140
江西卫视,http://www.lizhinas.top:1009/rtp/239.252.220.63:5140
浙江卫视,http://www.lizhinas.top:1009/rtp/239.252.219.210:5140
湖南卫视,http://www.lizhinas.top:1009/rtp/239.252.219.201:5140
湖北卫视,http://www.lizhinas.top:1009/rtp/239.252.219.208:5140
安徽卫视,http://www.lizhinas.top:1009/rtp/239.252.220.83:5140
山东卫视,http://www.lizhinas.top:1009/rtp/239.252.219.228:5140
山西卫视,http://www.lizhinas.top:1009/rtp/239.252.219.27:5140
教育卫视,http://www.lizhinas.top:1009/rtp/239.252.219.74:5140
河南卫视,http://www.lizhinas.top:1009/rtp/239.252.220.189:5140
河北卫视,http://www.lizhinas.top:1009/rtp/239.252.220.154:5140
厦门卫视,http://www.lizhinas.top:1009/rtp/239.252.219.75:5140
龙江卫视,http://www.lizhinas.top:1009/rtp/239.252.219.211:5140
吉林卫视,http://www.lizhinas.top:1009/rtp/239.252.220.188:5140
辽宁卫视,http://www.lizhinas.top:1009/rtp/239.252.220.62:5140
云南卫视,http://www.lizhinas.top:1009/rtp/239.252.219.185:5140
贵州卫视,http://www.lizhinas.top:1009/rtp/239.252.220.190:5140
四川卫视,http://www.lizhinas.top:1009/rtp/239.252.220.93:5140
重庆卫视,http://www.lizhinas.top:1009/rtp/239.252.220.94:5140
陕西卫视,http://www.lizhinas.top:1009/rtp/239.252.219.105:5140
甘肃卫视,http://www.lizhinas.top:1009/rtp/239.252.219.140:5140
宁夏卫视,http://www.lizhinas.top:1009/rtp/239.252.219.104:5140
青海卫视,http://www.lizhinas.top:1009/rtp/239.252.219.46:5140
内蒙卫视,http://www.lizhinas.top:1009/rtp/239.252.219.48:5140
西藏卫视,http://www.lizhinas.top:1009/rtp/239.252.219.106:5140
新疆卫视,http://www.lizhinas.top:1009/rtp/239.252.219.100:5140
兵团卫视,http://www.lizhinas.top:1009/rtp/239.252.219.107:5140
三沙卫视,http://www.lizhinas.top:1009/rtp/239.252.219.76:5140
卡酷少儿,http://www.lizhinas.top:1009/rtp/239.252.219.109:5140
哈哈炫动,http://www.lizhinas.top:1009/rtp/239.252.219.43:5140
嘉佳卡通,http://www.lizhinas.top:1009/rtp/239.252.219.92:5140
金鹰卡通,http://www.lizhinas.top:1009/rtp/239.252.219.69:5140
金鹰纪实,http://www.lizhinas.top:1009/rtp/239.252.220.155:5140

CCTV-1综合,http://144.0.18.66:8018/hls/1/index.m3u8
CCTV-2财经,http://144.0.18.66:8018/hls/2/index.m3u8
CCTV-3综艺,http://144.0.18.66:8018/hls/3/index.m3u8
CCTV-4中文国际,http://144.0.18.66:8018/hls/4/index.m3u8
CCTV-5体育,http://144.0.18.66:8018/hls/5/index.m3u8
CCTV-6电影,http://144.0.18.66:8018/hls/6/index.m3u8
CCTV-7国防军事,http://144.0.18.66:8018/hls/7/index.m3u8
CCTV-8电视剧,http://144.0.18.66:8018/hls/8/index.m3u8
CCTV-9纪录,http://144.0.18.66:8018/hls/9/index.m3u8
CCTV-10科教,http://144.0.18.66:8018/hls/10/index.m3u8
CCTV-11戏曲,http://144.0.18.66:8018/hls/11/index.m3u8
CCTV-12社会与法,http://144.0.18.66:8018/hls/12/index.m3u8
CCTV-13新闻,http://144.0.18.66:8018/hls/13/index.m3u8
CCTV-14少儿,http://144.0.18.66:8018/hls/14/index.m3u8
CCTV-15音乐,http://144.0.18.66:8018/hls/15/index.m3u8
CCTV-16奥林匹克,http://218.15.20.81:3388/hls/36/index.m3u8
CCTV-17农业农村,http://113.64.146.6:2024/hls/34/index.m3u8
CCTV-5+体育赛事,http://218.15.20.81:3388/hls/5/index.m3u8
北京卫视,http://144.0.18.66:8018/hls/46/index.m3u8
天津卫视,http://113.64.146.6:2024/hls/69/index.m3u8
东方卫视,http://144.0.18.66:8018/hls/54/index.m3u8
东南卫视,http://144.0.18.66:8018/hls/55/index.m3u8
海南卫视,http://144.0.18.66:8018/hls/66/index.m3u8
广东卫视,http://144.0.18.66:8018/hls/57/index.m3u8
广西卫视,http://144.0.18.66:8018/hls/58/index.m3u8
深圳卫视,http://144.0.18.66:8018/hls/72/index.m3u8
江苏卫视,http://144.0.18.66:8018/hls/51/index.m3u8
江西卫视,http://144.0.18.66:8018/hls/64/index.m3u8
浙江卫视,http://144.0.18.66:8018/hls/52/index.m3u8
湖南卫视,http://144.0.18.66:8018/hls/50/index.m3u8
湖北卫视,http://144.0.18.66:8018/hls/49/index.m3u8
安徽卫视,http://144.0.18.66:8018/hls/48/index.m3u8
山东卫视,http://144.0.18.66:8018/hls/20/index.m3u8
山西卫视,http://144.0.18.66:8018/hls/70/index.m3u8
教育卫视,http://144.0.18.66:8018/hls/16/index.m3u8
河南卫视,http://144.0.18.66:8018/hls/62/index.m3u8
河北卫视,http://144.0.18.66:8018/hls/61/index.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8 
龙江卫视,http://144.0.18.66:8018/hls/58/index.m3u8
吉林卫视,http://113.64.146.6:2024/hls/89/index.m3u8
辽宁卫视,http://144.0.18.66:8018/hls/65/index.m3u8
云南卫视,http://113.64.146.6:2024/hls/86/index.m3u8
贵州卫视,http://144.0.18.66:8018/hls/59/index.m3u8
四川卫视,http://144.0.18.66:8018/hls/74/index.m3u8
重庆卫视,http://113.64.146.6:2024/hls/88/index.m3u8
陕西卫视,http://144.0.18.66:8018/hls/71/index.m3u8
甘肃卫视,http://144.0.18.66:8018/hls/56/index.m3u8
宁夏卫视,http://144.0.18.66:8018/hls/68/index.m3u8
青海卫视,http://144.0.18.66:8018/hls/69/index.m3u8
内蒙卫视,http://144.0.18.66:8018/hls/67/index.m3u8
西藏卫视,http://144.0.18.66:8018/hls/75/index.m3u8
新疆卫视,http://144.0.18.66:8018/hls/76/index.m3u8
兵团卫视,http://113.64.146.6:2024/hls/85/index.m3u8
三沙卫视,http://113.64.146.6:2024/hls/88/index.m3u8
卡酷动画,http://113.64.146.6:2024/hls/51/index.m3u8
哈哈炫动,http://144.0.18.66:8018/hls/42/index.m3u8
嘉佳卡通,http://113.64.146.6:2024/hls/50/index.m3u8
优漫卡通,http://144.0.18.66:8018/hls/45/index.m3u8
金鹰卡通,http://144.0.18.66:8018/hls/43/index.m3u8

CCTV-1综合,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8
CCTV-2财经,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8
CCTV-3综艺,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8
CCTV-4中文国际,http://58.221.214.82:9901/tsfile/live/0004_1.m3u8
CCTV-5体育,http://58.221.214.82:9901/tsfile/live/0005_1.m3u8
CCTV-6电影,http://58.221.214.82:9901/tsfile/live/0006_1.m3u8
CCTV-7国防军事,http://58.221.214.82:9901/tsfile/live/0007_1.m3u8
CCTV-8电视剧,http://58.221.214.82:9901/tsfile/live/0008_1.m3u8
CCTV-9纪录,http://58.221.214.82:9901/tsfile/live/0009_1.m3u8
CCTV-10科教,http://58.221.214.82:9901/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://58.221.214.82:9901/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://58.221.214.82:9901/tsfile/live/0012_1.m3u8
CCTV-13新闻,http://58.221.214.82:9901/tsfile/live/0013_1.m3u8
CCTV-14少儿,http://58.221.214.82:9901/tsfile/live/0014_1.m3u8
CCTV-15音乐,http://58.221.214.82:9901/tsfile/live/0015_1.m3u8
CCTV-16奥林匹克,http://58.221.214.82:9901/tsfile/live/0002_2.m3u8
CCTV-17农业农村,http://58.221.214.82:9901/tsfile/live/0003_2.m3u8
CCTV-5+体育赛事,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8 
CGTN-英语,https://english-livebkws.cgtn.com/live/encgtn.m3u8
CGTN-法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN-西语,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN-阿语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN-俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN-纪录,https://english-livebkali.cgtn.com/live/doccgtn.m3u8
北京卫视,http://58.221.214.82:9901/tsfile/live/0122_1.m3u8
天津卫视,http://58.221.214.82:9901/tsfile/live/0135_1.m3u8
东方卫视,http://58.221.214.82:9901/tsfile/live/0107_1.m3u8
东南卫视,http://58.221.214.82:9901/tsfile/live/0137_1.m3u8
海南卫视,http://58.221.214.82:9901/tsfile/live/0016_2.m3u8
广东卫视,http://58.221.214.82:9901/tsfile/live/0125_1.m3u8
广西卫视,http://58.221.214.82:9901/tsfile/live/0113_1.m3u8
深圳卫视,http://58.221.214.82:9901/tsfile/live/0126_1.m3u8
江苏卫视,http://58.221.214.82:9901/tsfile/live/0127_1.m3u8
江西卫视,http://58.221.214.82:9901/tsfile/live/0138_1.m3u8
浙江卫视,http://58.221.214.82:9901/tsfile/live/0124_1.m3u8
湖北卫视,http://58.221.214.82:9901/tsfile/live/0132_1.m3u8
湖南卫视,http://58.221.214.82:9901/tsfile/live/0128_1.m3u8
安徽卫视,http://58.221.214.82:9901/tsfile/live/0130_1.m3u8
山东卫视,http://58.221.214.82:9901/tsfile/live/0131_1.m3u8
山西卫视,http://58.221.214.82:9901/tsfile/live/0017_1.m3u8
教育卫视,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
河南卫视,http://58.221.214.82:9901/tsfile/live/0139_1.m3u8
河北卫视,http://58.220.219.14:9901/tsfile/live/0117_1.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8?
龙江卫视,http://58.221.214.82:9901/tsfile/live/0143_1.m3u8
吉林卫视,http://58.221.214.82:9901/tsfile/live/0116_1.m3u8
辽宁卫视,http://58.221.214.82:9901/tsfile/live/0121_1.m3u8
云南卫视,http://58.220.219.14:9901/tsfile/live/0119_1.m3u8
贵州卫视,http://58.221.214.82:9901/tsfile/live/0120_1.m3u8
四川卫视,http://58.221.214.82:9901/tsfile/live/0123_1.m3u8
重庆卫视,http://58.221.214.82:9901/tsfile/live/0142_1.m3u8
陕西卫视,http://58.220.219.14:9901/tsfile/live/0120_7.m3u8
甘肃卫视,http://58.220.219.14:9901/tsfile/live/0141_1.m3u8
宁夏卫视,http://58.220.219.14:9901/tsfile/live/0112_1.m3u8
青海卫视,http://58.221.214.82:9901/tsfile/live/0018_1.m3u8
内蒙卫视,http://58.220.219.14:9901/tsfile/live/0114_1.m3u8
西藏卫视,http://58.220.219.14:9901/tsfile/live/0120_5.m3u8
新疆卫视,http://58.220.219.14:9901/tsfile/live/0120_6.m3u8
优漫卡通,http://58.221.214.82:9901/tsfile/live/0008_2.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8?u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20230221.m3u8

CCTV-1综合,http://ycsj.aguihome.com:4022/udp/233.50.200.143:5140
CCTV-2财经,http://ycsj.aguihome.com:4022/udp/233.50.200.100:5140
CCTV-3综艺,http://ycsj.aguihome.com:4022/udp/233.50.200.107:5140
CCTV-4中文国际,http://ycsj.aguihome.com:4022/udp/233.50.200.101:5140
CCTV-5体育,http://ycsj.aguihome.com:4022/udp/233.50.200.108:5140
CCTV-6电影,http://ycsj.aguihome.com:4022/udp/233.50.200.109:5140
CCTV-7国防军事,http://ycsj.aguihome.com:4022/udp/233.50.200.102:5140
CCTV-8电视剧,http://ycsj.aguihome.com:4022/udp/233.50.200.110:5140
CCTV-9纪录,http://ycsj.aguihome.com:4022/udp/233.50.200.23:5140
CCTV-10科教,http://ycsj.aguihome.com:4022/udp/233.50.200.22:5140
CCTV-11戏曲,http://ycsj.aguihome.com:4022/udp/233.50.201.11:5140
CCTV-12社会与法,http://ycsj.aguihome.com:4022/udp/233.50.200.21:5140
CCTV-13新闻,http://ycsj.aguihome.com:4022/udp/233.50.200.111:5140
CCTV-14少儿,http://ycsj.aguihome.com:4022/udp/233.50.200.103:5140
CCTV-15音乐,http://ycsj.aguihome.com:4022/udp/233.50.201.15:5140
CCTV-16奥林匹克,http://ycsj.aguihome.com:4022/udp/233.50.200.112:5140
CCTV-17农业农村,http://ycsj.aguihome.com:4022/udp/233.50.200.113:5140
CCTV-5+体育赛事,http://ycsj.aguihome.com:4022/udp/233.50.201.220:5140
CETV-1教育,http://ycsj.aguihome.com:4022/udp/233.50.201.75:5140
CETV-2教育,http://goo.bkpcp.top/mg/cetv2
CETV-4教育,http://ycsj.aguihome.com:4022/udp/233.50.200.162:5140
CGTN-英语,http://ycsj.aguihome.com:4022/udp/233.50.201.126:5140
CGTN-西语,http://ycsj.aguihome.com:4022/udp/233.50.201.36:5140
CGTN-法语,http://ycsj.aguihome.com:4022/udp/233.50.201.37:5140
CGTN-阿语,http://ycsj.aguihome.com:4022/udp/233.50.201.38:5140
CGTN-俄语,http://ycsj.aguihome.com:4022/udp/233.50.201.39:5140
CGTN-纪录,http://goo.bkpcp.top/mg/cgtnjl
北京卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.179:5140
天津卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.104:5140
东方卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.146:5140
东南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.146:5140
海南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.55:5140
广东卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.149:5140
广西卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.49:5140
深圳卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.188:5140
江苏卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.144:5140
江西卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.119:5140
浙江卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.145:5140
湖南卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.190:5140
湖北卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.147:5140
安徽卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.106:5140
山东卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.105:5140
山西卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.51:5140
河南卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.144:5140
河北卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.105:5140
厦门卫视,http://goo.bkpcp.top/mg/xmws
龙江卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.189:5140
吉林卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.48:5140
辽宁卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.141:5140
云南卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.115:5140
贵州卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.142:5140
四川卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.118:5140
重庆卫视,http://ycsj.aguihome.com:4022/udp/233.50.200.114:5140
陕西卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.59:5140
甘肃卫视,http://goo.bkpcp.top/mg/gsws
宁夏卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.57:5140
青海卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.65:5140
内蒙卫视,http://z.b.bkpcp.top/m.php?id=nmgws?3.50.201.66:5140
西藏卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.70:5140
新疆卫视,http://goo.bkpcp.top/mg/xjws
兵团卫视,http://ycsj.aguihome.com:4022/udp/233.50.201.72:5140
卡酷少儿,http://goo.bkpcp.top/mg/bjkk
哈哈炫动,http://ycsj.aguihome.com:4022/udp/233.50.201.74:5140
嘉佳卡通,http://goo.bkpcp.top/mg/jjkt
